ID_Bloque;Orden;Pagina_Referencia;Seccion;Titulo;Texto_Base;Tipo_Bloque;Variables;Fuente_Datos;Mostrar;Aplica_Motivo;Observacion_Interna
CFG_001;1;;CONFIGURACION;DIRECTOR_NOMBRE;ING. JUAN DIEGO REMACHE RIVERA MGS.;CONFIG;;CSV;SI;TODOS;
CFG_002;2;;CONFIGURACION;DIRECTOR_CARGO;DIRECTOR GENERAL DE GESTIÓN DE PLANIFICACIÓN, HÁBITAT Y DESARROLLO URBANÍSTICO;CONFIG;;CSV;SI;TODOS;
CFG_003;3;;CONFIGURACION;ACCION_PERSONAL_DIRECTOR;DG-TH-2026 -LRN-2;CONFIG;;CSV;SI;TODOS;
CFG_004;4;;CONFIGURACION;FECHA_ACCION_PERSONAL_DIRECTOR;08 de enero de 2026;CONFIG;;CSV;SI;TODOS;
CFG_005;5;;CONFIGURACION;MEMORANDO_CRITERIO_JURIDICO;GADMR-PROC-2026-0038-M;CONFIG;;CSV;SI;TODOS;
CFG_006;6;;CONFIGURACION;SIGLA_RESOLUCION;GADMR-GPHDU-DES;CONFIG;;CSV;SI;TODOS;
CFG_007;7;;CONFIGURACION;PLANTILLA_VERSION;resolucion_desistimiento_obra_mayor_v3;CONFIG;;CSV;SI;TODOS;
ENC_001;10;1;ENCABEZADO;TITULO;[B]RESOLUCIÓN ADMINISTRATIVA Nro. {{NUMERO_RESOLUCION}}[/B];DINAMICO;NUMERO_RESOLUCION;Resolución Desistimiento;SI;TODOS;
ENC_002;11;1;ENCABEZADO;DIRECTOR;{{DIRECTOR_NOMBRE}};DINAMICO_CONFIG;DIRECTOR_NOMBRE;CFG_001;SI;TODOS;
ENC_003;12;1;ENCABEZADO;CARGO;[B]{{DIRECTOR_CARGO}}[/B];DINAMICO_CONFIG;DIRECTOR_CARGO;CFG_002;SI;TODOS;
ENC_004;13;1;ENCABEZADO;CONSIDERANDO;CONSIDERANDO:;FIJO;;CSV;SI;TODOS;
CON_001;20;1;CONSIDERANDO;NOMBRAMIENTO;"[B]Que,[/B] el Ingeniero Juan Diego Remache Rivera nombrado legalmente en calidad de Director General de Gestión de Planificación, Hábitat y Desarrollo Urbanístico, mediante Acción de Personal No. {{ACCION_PERSONAL_DIRECTOR}}, que rige a partir del {{FECHA_ACCION_PERSONAL_DIRECTOR}};";DINAMICO_CONFIG;ACCION_PERSONAL_DIRECTOR|FECHA_ACCION_PERSONAL_DIRECTOR;CFG_003|CFG_004;SI;TODOS;
CON_002;21;1;CONSIDERANDO;CONSTITUCION_82;"[B]Que,[/B] el artículo 82 de la Constitución de la República dispone “El derecho a la seguridad jurídica se fundamenta en el respeto a la Constitución y en la existencia de normas jurídicas previas, claras, públicas y aplicadas por las autoridades competentes”;";FIJO;;CSV;SI;TODOS;
CON_003;22;1;CONSIDERANDO;CONSTITUCION_225;[B]Que,[/B] el artículo 225 de la Constitución de la República del Ecuador, señala que son parte de la Administración Pública, los siguientes: 1. “Los organismos y dependencias de las funciones Ejecutiva, Legislativa, Judicial, Electoral y de Transparencia y Control Social. 2. Las entidades que integran el régimen autónomo descentralizado. 3. Los organismos y entidades creados por la Constitución o la ley para el ejercicio de la potestad estatal, para la prestación de servicios públicos o para desarrollar actividades económicas asumidas por el Estado. 4. Las personas jurídicas creadas por acto normativo de los gobiernos autónomos descentralizados para la prestación de servicios públicos.”;FIJO;;CSV;SI;TODOS;
CON_004;23;1;CONSIDERANDO;CONSTITUCION_226;"[B]Que,[/B] el artículo 226 de la Constitución de la República establece “Las instituciones del Estado, sus organismos, dependencias, las servidoras o servidores públicos y las personas que actúen en virtud de una potestad estatal ejercerán solamente las competencias y facultades que les sean atribuidas en la Constitución y la ley. Tendrán el deber de coordinar acciones para el cumplimiento de sus fines y hacer efectivo el goce y ejercicio de los derechos reconocidos en la Constitución”;";FIJO;;CSV;SI;TODOS;
CON_005;24;1;CONSIDERANDO;CONSTITUCION_264;"[B]Que,[/B] el número 2 del artículo 264 de la Constitución de la República del Ecuador indica: “Los gobiernos municipales tendrán las siguientes competencias exclusivas sin perjuicio de otras que determine la ley: 2. Ejercer el control sobre el uso y ocupación del suelo en el cantón.”;";FIJO;;CSV;SI;TODOS;
CON_006;25;1;CONSIDERANDO;COOTAD_55;"[B]Que,[/B] el artículo 55 letra b) del Código Orgánico de Organización Territorial Autonomía y Descentralización determina “Los gobiernos autónomos descentralizados municipales tendrán las siguientes competencias exclusivas sin perjuicio de otras que determine la ley; (…) b) Ejercer el control sobre el uso y ocupación del suelo en el cantón”;";FIJO;;CSV;SI;TODOS;
CON_007;30;2;CONSIDERANDO;COA_3;"[B]Que,[/B] el artículo 3 del Código Orgánico Administrativo dispone: “Principio de eficacia. Las actuaciones administrativas se realizan en función del cumplimiento de los fines previstos para cada órgano o entidad pública, en el ámbito de sus competencias”;";FIJO;;CSV;SI;TODOS;
CON_007_A;30.1;2;CONSIDERANDO;COA_14;"[B]Que,[/B] el artículo 14 del Código Orgánico Administrativo establece: “Principio de juridicidad. La actuación administrativa se somete a la Constitución, a los instrumentos internacionales, a la ley, a los principios, a la jurisprudencia aplicable y al presente Código”;";FIJO;;CSV;SI;TODOS;
CON_007_B;30.2;2;CONSIDERANDO;COA_100;"[B]Que,[/B] el artículo 100 del Código Orgánico Administrativo indica que “todo acto administrativo debe estar motivado y se deberá observar: 1.- El señalamiento de la norma jurídica o principios jurídicos aplicables y la determinación de su alcance, 2.- La calificación de los hechos relevantes para la adopción de la decisión, sobre la base de la evidencia que conste en el expediente administrativo y 3.- La explicación de la pertinencia del régimen jurídico invocado en relación con los hechos determinados”;";FIJO;;CSV;SI;TODOS;
CON_008;31;2;CONSIDERANDO;COA_140;[B]Que,[/B] el artículo 140 del COA dice: “Subsanaciones. Cuando alguno de los actos de la persona interesada no reúna los requisitos necesarios, la administración pública le notificará para que, en el término de diez días, subsane su omisión. La administración pública especificará los requisitos que deben ser enmendados por la persona interesada con la indicación de su fundamento legal, técnico o económico y las instrucciones detalladas del modo en que debe proceder para subsanar las deficiencias. Si la persona interesada no cumple lo dispuesto por la administración pública se entenderá como desistimiento y será declarado en la resolución. La administración pública no podrá disponer el archivo del procedimiento o la restitución de la petición a la persona interesada sin haber dispuesto la subsanación. Su omisión constituye una falta grave del servidor público y no suspende el procedimiento administrativo para todos los propósitos previstos en este Código”,;FIJO;;CSV;SI;OBSERVACIONES;
CON_009;32;2;CONSIDERANDO;COA_183;"[B]Que,[/B] el primer inciso del Artículo 183 del COA determina: “Iniciativa. El procedimiento administrativo puede iniciarse de oficio o a solicitud de la persona interesada”;";FIJO;;CSV;SI;TODOS;
CON_009_A;32.1;2;CONSIDERANDO;COA_201;[B]Que,[/B] en el artículo 201 de mencionada Ley, se establecen las formas de terminación del procedimiento administrativo. “El procedimiento administrativo termina por: 1. El acto administrativo. 2. El silencio administrativo. 3. El desistimiento. 4. El abandono. 5. La caducidad del procedimiento o de la potestad pública. 6. La imposibilidad material de continuarlo por causas imprevistas. 7. La terminación convencional”;FIJO;;CSV;SI;TODOS;
CON_010;33;2;CONSIDERANDO;COA_211;"[B]Que,[/B] el artículo 211 del Código Orgánico Administrativo establece que la persona interesada puede desistir del procedimiento cuando no esté prohibido por la ley, debiendo indicarse si el desistimiento es total o parcial y dejando constancia por un medio que permita verificarlo antes de la notificación del acto administrativo;";FIJO;;CSV;SI;PETICION;
CON_011;40;3;CONSIDERANDO;ORD_657;"[B]Que,[/B] el artículo 657 de la Ordenanza Nro. 016-2023 que contiene la actualización del Código Urbano para el Cantón Riobamba (publicada en el Registro Oficial, Edición Especial No. 885 del 23 de mayo del 2023) establece: “De la Obligatoriedad de Correo o Plataforma Electrónica para Notificaciones. - Los interesados de manera obligatoria al ingreso del trámite correspondiente, deberán señalar correo electrónico para recibir notificaciones;";FIJO;;CSV;SI;TODOS;
CON_012;41;3;CONSIDERANDO;ORD_38;"[B]Que,[/B] el Artículo. 38 de la Ordenanza Nro. 016-2023 que contiene la actualización del Código Urbano para el Cantón Riobamba (publicada en el Registro Oficial, Edición Especial No. 885 del 23 de mayo del 2023) establece: “…. para el Otorgamiento de Licencias Urbanísticas y Autorización Urbanística Preliminar de Propiedad Horizontal.- Se sujetan al procedimiento administrativo general las Licencias Urbanísticas de Subdivisiones que impliquen realización de obras de infraestructura básica; Urbanizaciones; Obras Mayores, Edificación en Áreas Históricas; Proyectos Especiales; y, la Autorización urbanística preliminar de Propiedad Horizontal, cuyo procedimiento es el siguiente: 1. En el procedimiento general el trámite iniciará con la presentación por parte del interesado del formulario con los requisitos que correspondan a la actuación materia del licenciamiento. 2. En los casos de Proyectos de Subdivisiones de dos a diez predios que impliquen realización de obras de infraestructura básica, Anteproyectos y Proyectos de Subdivisiones de más de diez predios (Urbanización) y Autorización Urbanística Preliminar de Propiedad Horizontal, el trámite se asignará a la Mesa Técnica Institucional para que verifique el cumplimiento de requisitos, Reglas Técnicas y Normas Administrativas del proyecto; y, elabore el informe técnico legal correspondiente.2.2. En caso de existir observaciones en el informe técnico legal o informe técnico, que deban subsanarse por parte del interesado, la mesa técnica institucional o el técnico asignado, notificará al interesado sentando razón para que dentro de 10 días hábiles cumpla con los requerimientos. [B][IU](…) En caso de que no se subsanen las observaciones por parte del interesado, la mesa técnica institucional o el técnico asignado sentará razón y emitirá el informe técnico legal o informe técnico correspondiente; y, lo pondrá en conocimiento de la Autoridad Administrativa Otorgante, para la devolución de las actuaciones mediante resolución administrativa, dejando a salvo el derecho del administrado volver a presentar una nueva solicitud”;[/IU][/B]";FIJO;;CSV;SI;OBSERVACIONES;
CON_013;42;3;CONSIDERANDO;CRITERIO_JURIDICO;[B]Que,[/B] el Memorando Nro. {{MEMORANDO_CRITERIO_JURIDICO}}, contiene el criterio jurídico, mediante el cual se determina: [I]“(…) Deberá la Dirección General de Gestión de Planificación, Habitad y Desarrollo Urbanístico, asumir todas las actividades, atribuciones y deberes y obligaciones que estaba a cargo de la Dirección General de Ordenamiento Territorial y aquellas que le sean similares que constan dentro de las ordenanza, hasta que las mismas sean reformadas o sustituidas, esto en cumplimiento de todos los artículos antes citados y tomando en consideración que el servicio público no puede paralizarse. (…)”.[/I];DINAMICO_CONFIG;MEMORANDO_CRITERIO_JURIDICO;CFG_005;SI;TODOS;
